tahun,produksi_energi,konsumsi_energi,produksi_batubara_lignit,konsumsi_batubara_lignit,produksi_minyak_mentah,produksi_minyak_olahan,konsumsi_minyak_bumi,produksi_gas_alam,konsumsi_gas_alam,produksi_listrik,konsumsi_listrik,kontribusi_energi_terbarukan_untuk_total_produksi_listrik(%),kontribusi_energi_angin_matahari_untuk_total_produksi_listrik(%),emisi_co2_dari_bahan_bakar,faktor_emisi_co2
1990,168,98,10,7,73,39,30,48,17,33,28,20.9,3.4,145,1.48
1991,182,103,13,8,80,40,32,55,19,37,31,20.6,2.8,157,1.53
1992,186,107,22,8,75,42,33,57,20,42,35,23.8,2.6,165,1.54
1993,193,118,28,8,77,42,37,59,21,45,39,19.8,2.4,179,1.53
1994,206,117,31,9,81,43,37,66,26,51,45,15.7,3.8,190,1.63
1995,213,129,42,11,80,46,43,65,29,59,50,16.5,3.7,212,1.65
1996,221,134,50,12,80,49,45,69,30,68,57,15.5,3.5,230,1.72
1997,225,138,55,14,79,48,48,72,33,75,64,10.3,3.5,250,1.81
1998,227,135,61,16,77,48,47,70,36,78,65,15.8,3.4,252,1.87
1999,236,141,74,20,75,49,51,75,35,86,71,14.1,3.2,271,1.92
2000,233,151,79,25,70,50,51,70,31,93,79,16.0,5.2,272,1.80
2001,237,154,94,28,67,51,53,68,33,101,85,17.5,6.0,290,1.89
2002,243,160,102,29,62,49,53,74,35,108,87,15.0,5.8,297,1.86
2003,249,160,117,39,57,50,54,78,36,113,90,13.6,5.6,325,2.03
2004,259,170,144,36,53,50,60,75,34,120,100,13.6,5.5,332,1.95
2005,274,173,171,41,52,48,59,75,33,128,108,13.6,5.2,335,1.94
2006,308,177,233,49,49,47,57,74,36,133,113,12.3,5.0,354,2.00
2007,312,176,249,61,47,46,58,72,30,142,122,12.9,4.9,372,2.11
2008,316,178,249,55,48,48,60,74,33,149,129,13.3,5.6,365,2.05
2009,340,188,291,56,47,49,60,77,39,157,136,13.2,5.9,382,2.04
2010,368,196,325,67,48,47,60,86,44,170,147,15.9,5.5,410,2.09
2011,420,200,436,80,45,48,71,81,41,183,158,12.0,5.1,461,2.30
2012,424,199,470,82,44,46,76,77,41,200,174,11.2,4.7,468,2.35
2013,431,191,491,65,41,44,75,76,42,216,188,12.3,4.4,429,2.24
2014,424,199,488,79,40,48,76,75,43,228,199,11.5,4.4,464,2.33
2015,397,196,452,87,40,47,72,75,43,234,203,10.7,4.3,470,2.40
2016,404,200,463,94,42,47,66,74,42,248,216,12.6,4.3,461,2.31
2017,413,208,495,105,40,49,71,72,40,255,223,12.7,5.0,492,2.37
2018,441,223,549,121,39,51,77,72,42,284,267,17.4,5.0,545,2.44
2019,459,232,601,146,37,51,72,67,42,295,270,16.8,5.0,586,2.53
2020,433,220,566,141,36,46,63,59,39,292,276,18.8,5.6,546,2.48
2021,461,228,616,142,33,41,66,58,39,309,293,18.3,5.3,576,2.53
2022,504,276,690,216,31,43,72,57,36,334,316,18.7,5.2,739,2.68
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
